ID,Event_team,Player,playerno,Shot_place,Shot_outcome,Location,Body_Part,assist_method,Situation,fastbreak,is_goal,xG
15,Occidental,Ben Simon,8,10,2,18,2,0,1,0,0,0
15,La Verne,James Coe,0,3,1,4,1,0,1,0,0,0.59
15,Occidental,Logan Myers,16,2,3,18,2,0,1,0,0,0
15,La Verne,Cesar Rodriguez,0,8,2,10,2,0,1,0,0,0
15,Occidental,Joey Schwartz,19,10,2,5,1,0,1,0,0,0
15,Occidental,Marcus Blumenfeld,9,2,3,15,2,0,1,0,0,0
15,Occidental,Marcus Blumenfeld,9,9,2,15,2,4,1,0,0,0
15,La Verne,Jovanni Garcia,0,12,1,9,2,4,1,0,0,0.43
16,Occidental,Joey Schwartz,19,3,1,5,1,1,1,0,1,0.07
16,Whittier,RayRay Roberson,0,9,2,11,2,0,1,0,0,0
16,Whittier,Sam Johnson,0,10,2,18,1,0,1,0,0,0
16,Occidental,Matthew Teplitz,7,2,3,5,1,0,1,0,0,0
16,Occidental,Marcus Blumenfeld,9,4,1,3,1,0,1,0,0,0.51
16,Whittier,Banks Telkamp,0,5,1,17,1,0,1,0,0,0.03
16,Whittier,Matteo Loi,0,5,1,17,2,0,1,0,0,0
16,Whittier,RayRay Roberson,0,4,1,3,1,0,1,1,0,1
16,Whittier,Banks Telkamp,0,2,3,17,1,0,1,0,0,0
16,Whittier,Matteo Loi,0,10,2,15,1,1,1,0,0,0
16,Occidental,Jack Meeker,13,4,2,12,1,2,1,0,0,0
16,Occidental,Logan Myers,16,5,1,18,2,1,1,1,0,1
16,Occidental,Jack Meeker,13,12,1,5,1,0,1,0,0,0.03
16,Whittier,Banks Telkamp,0,2,3,15,2,0,3,0,0,0
